ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776161573147,2079791,-9.482027,-2.7207837,2.3998463,-1.7421877,-0.05009095,2.5595255,101
1776161573185,2079661,-9.429337,-2.56271,2.596241,-1.9022343,-0.02076942,2.5179865,101
1776161573228,2078744,-9.537114,-2.821376,2.1363902,-1.9474384,0.02565634,2.0500638,101
1776161573266,2077730,-9.36946,-3.6812015,2.1866863,-1.600467,0.032986723,1.8606955,101
1776161573306,2077182,-8.914399,-4.133867,2.260933,-0.8344419,0.087964594,1.3219124,101
1776161573347,2077182,-8.914399,-4.133867,2.260933,-0.07452556,0.22602014,0.61575216,101
1776161573386,2076937,-8.77309,-4.553002,2.7902405,0.10751228,0.25167647,0.43371433,101
1776161573425,2076923,-9.496398,-4.976927,2.9722648,0.43860126,0.24801129,0.073303826,101
1776161573465,2076923,-9.496398,-4.976927,2.9722648,0.7696902,0.25778514,-0.5326745,101
1776161573505,2076804,-10.408915,-5.209247,2.9435241,0.95905846,0.33475417,-1.1117748,101
1776161573547,2076658,-10.509506,-4.4907303,2.6776729,2.8454103,0.17715092,-1.9559906,101
1776161573585,2076346,-11.699849,-4.4667797,1.9926867,3.368311,0.095294975,-2.239432,101
1776161573625,2076346,-11.699849,-4.4667797,1.9926867,3.8411207,-0.1600467,-2.5778513,101
1776161573665,2076154,-11.345381,-2.8836477,1.4442189,3.5833356,-0.6719518,-2.8026497,101
1776161573705,2075604,-12.554885,-1.7819219,1.1735775,3.2424726,-1.0604621,-2.5033257,101
1776161573746,2075604,-12.554885,-1.7819219,1.1735775,2.701246,-1.2156218,-2.4581218,101
1776161573786,2073509,-10.86637,-0.67061573,1.4825398,1.4135422,-1.2925909,-2.3542747,101
1776161573826,2073509,-10.86637,-0.67061573,1.4825398,0.48624873,-1.2339478,-2.3554964,101
1776161573865,2071582,-9.570644,-1.0610099,1.5160706,-0.02687807,-1.0873401,-2.090381,101
1776161573906,2069846,-8.95272,-1.0897505,1.3699721,-0.030543262,-0.8344419,-1.6749926,101
1776161573946,2069041,-8.246179,-1.6070827,1.3915277,0.24801129,-0.5155703,-1.2889256,101
1776161573985,2068952,-7.3576126,-1.8705388,1.3987129,0.28344148,-0.1441642,-0.9309586,101
1776161574025,2069113,-6.39001,-1.405898,1.8034773,0.1001819,0.23579398,-0.24190263,101
